invoice_no,stock_code,description,quantity,invoice_date,unit_price_gbp,customer_id,country
536390,85123A,WHITE HANGING HEART T-LIGHT HOLDER,64,2010-12-01 10:19:00,2.55,17511,United Kingdom
536537,22333,RETROSPOT PARTY BAG + STICKER SET,8,2010-12-01 13:51:00,1.65,15922,United Kingdom
536562,22752,SET 7 BABUSHKA NESTING BOXES,2,2010-12-01 15:08:00,8.5,13468,United Kingdom
536592,20725,LUNCH BAG RED RETROSPOT,2,2010-12-01 17:06:00,4.21,,United Kingdom
536627,22697,GREEN REGENCY TEACUP AND SAUCER,12,2010-12-02 10:53:00,2.95,15658,United Kingdom
536635,84029E,RED WOOLLY HOTTIE WHITE HEART.,8,2010-12-02 11:22:00,3.75,15955,United Kingdom
536798,21911,GARDEN METAL SIGN ,12,2010-12-02 15:55:00,1.65,17838,United Kingdom
536862,22188,BLACK HEART CARD HOLDER,1,2010-12-03 11:13:00,8.47,,United Kingdom
536876,85169D,PINK LOVE BIRD CANDLE,1,2010-12-03 11:36:00,2.51,,United Kingdom
536947,21210,SET OF 72 RETROSPOT PAPER  DOILIES,12,2010-12-03 12:29:00,1.45,13013,United Kingdom
536981,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2010-12-03 14:26:00,3.75,14723,United Kingdom
537047,22080,RIBBON REEL POLKADOTS ,1,2010-12-05 11:02:00,1.65,13069,United Kingdom
537050,22712,CARD DOLLY GIRL ,12,2010-12-05 11:10:00,0.42,14800,United Kingdom
537135,21481,FAWN BLUE HOT WATER BOTTLE,2,2010-12-05 12:35:00,2.95,17059,United Kingdom
537201,84341B,SMALL PINK MAGIC CHRISTMAS TREE,12,2010-12-05 14:19:00,0.85,12472,Germany
537237,21916,SET 12 RETRO WHITE CHALK STICKS,3,2010-12-06 09:58:00,0.85,,United Kingdom
537240,22607,WOODEN ROUNDERS GARDEN SET ,1,2010-12-06 10:08:00,16.98,,United Kingdom
